Sentence_before,Sentence,Sentence_after,Filename,Year,Match,Phrase Key,Is Death Euphemism? (Yes/No)
Men for Margrete vare disse sidste dage forunderlige at gennemleve .,"Med det instinkt , som kommer frem i mennesket","under overordentlige forhold , vidste eller anede hun , at afgørelsen var nær . Derfor fik",1883_PaludanMueller_MargreteThorsen.txt,1883,kommer frem,kom* frem,No
"tænkte Kjeld med bitterhed ; dog for hans øre klang Minonas blide røst , således som hun bønfaldt","ham om , ikke at gå bort , og atter asede","de sig fremad i mørket og uvejret , planløst , som det nu kun kunne gå .",1894_Schjoerring_FamilienPaaSoegaard.txt,1894,gå bort,g* bort,No
"kilde falden i god jord , og kirkens blomsterhaver støde her ud på sommeren 1522 i fuld flor . Nelliker ,","aurikler , hyacintter og klokkeblomster udåndede","i broget mængde deres liflige Duft bag de “ hegnede bede , og lilier og roser , udsprungne af den hellige",1870_LundOC_ZittaEllerDomkirkensDatter.txt,1870,udåndede,udånde*,No
"Vær du vor hjælper ! “ * ) den lille sum , Fru Edele var i besiddelse af ,","* ) den 5te december året 1557 hensov han ved en stille ,",rolig død . da de tvende kvinder fandt tilflugtssted i Fru mazdas,1875_Barner_ILandflygtighed.txt,1875,hensov,hensov*,Yes
"ulykke , siden Viktor i det mindste foreløbig ikke kan opholde sig her i landet .","— ja , men så skal jeg jo miste ham .","Den unge pige fremførte disse ord med en så inderlig bedrøvelse , at Emilie , der hidtil havde",1878_FT_OlietrykmandensBortfoerelseshistorie.txt,1878,miste ham,miste* ham,No
"som en mus . Det skulle ikke undre mig , om en eller anden drilagtig ånd nu lod denne",velgørende frue afgå ved døden og mig,7° sidde i stikken med barnet . Men jeg vil dog,1882_Thorson_Rivaler.txt,1882,afgå ved døden,afg* ved døden,Yes
"men i den ; så længe kornet er oven jorden , så er det vel ene , men livet er dog skjult tilstede , ellers","kunne det jo ikke komme frem i jorden . Men , kære","ven ! Legemet , det lægges ikke i jorden før det er dødt , døden foregår oven jorden ; det kan jo dog",1890_MoellerEH_Overlaegen.txt,1890,komme frem,kom* frem,No
"Lidt efter kom en ung pige op på bakken fra den modsatte side af den , som drejeren var","gået bort ad . Hun gik hurtig , løb rundt om","huset , kiggede til alle sider , som om hun søgte . Det var drejer Hansens datter Marie , Harald",1887_Steenbuch_RektorLassen.txt,1887,gået bort,g* bort,No
"blikke på lægen , der stod hans leje nærmest . „ Ha ! “ råbte han heftigt , “ hvi kaldte i mig","påny til livet . Jeg var jo salig hensovet , og så","frelseren slå med guds engle om sig . Jeg frygtede for hans blik skulle knuse mig , men han så",1873_WintherC_DenFredloesesSoen_2.txt,1873,hensovet,hensov*,Yes
"Steffen Kall ud på aftenen af den dag , hvis morgen bragte Søren til en aldeles forfkjellig anstuelse","end han tidligere havde haft , kom hjem til sit hus ,",ventede han der at finde Bjørn og Søren ; men blev flufset i sin forventning . Da ingen af dem endnu næste,1870_Gundersen_EnPolitimandsErindringer.txt,1870,kom hjem,kom* hjem,No
"sider af den . Hvem bor vel i det smukke lille hus ? Er det et par nygifte ? Undertiden titter et smukt muntert ungt ansigt ud mellem blomsterpotterne , og der høres sang af en klar ungdommelig stemme .","Nej ! der findes ingen mand indenfor dette hus’s mure ! Dog hviske naboerne om , at de have set en sådan skjult i havens tætte buske og derefter komme frem samtidig med , at den unge dame smutter ud af huset .","den unge pige er ikke husets ejerinde ; det ejes af to gamle ugifte søstre , officersdøtre , stive og strunke . De se begge lidt bistre ud ; den ældste er vel noget over 60 , den yngre kun 45 ; men på grund af den store aldersforskel bliver hun betragtet som en pur ung pige af den ældre , der mener , at regimentet tilkommer hende .",1895_Nording_GamleJomfruer.txt,1895,komme frem,kom* frem,No
Oste har jeg i en bange stund søgt af følge eders anvisning og vende min hu til klosterets ro,og stilhed for af få fred ; men når jeg kom ud i,"naturen og hørte småfnglenes sang over mit hoved , var det for mig , som om de ville sige : bliv hos os",1881_Meldgaard_VedMossoe.txt,1881,få fred,f* fred,No
"„ Men undersøg dog først nøje , hvorledes alt hænger sammen , at ikke de uskyldige komme til at lide sammen med de skyldige . Mændene der sige dog selv , at sysselmanden for hårdt frem og muligvis selv har ægget bønderne . “ „ Du er en kvinde , “ genmælede Sverre hårdt , „ og om i fik lov at råde , skulle alle skurke og","niddinge gå frit om i landet , og alle brave og retskafne mænd komme af dage formedelst hines uforskammenhed og dumdristighed . “","„ Ak Sverre , jeg beder dig kun give stunder og ej fare for hastig frem . Kom i hu , hvad vi talte om forleden dag ! nu har du magten , misbrug den ikke ! “ „ Ikke trænger jeg til kvinderåd , og tiden kan bruges bedre end til tom snak . Ilde skulle det snart se ud med min kongemagt , om det spurgtes i landet , at onde og uvillige bønder ustraffef kunne slå mine sysselmænd ihjel . “",1888_Scharling_SverrePraest.txt,1888,komme af dage,kom* af dage,Yes
„ Hvorledes blev det med din Karl ? “ spurgte Rasmus .,"„ Med Povl “ , svarede Morten ; „ han himlede ,","ligesom i vare komne ud af gården , og skal begraves i overmorgen , “",1883_GudmandHoeyer_DenHvidePigePaaBogoe.txt,1883,himlede,himl*,Yes
"Men for resten — var døden det værste , der kunne ske ? Eller var det i det hele taget meningen , at hun skulle dø ?","Nej , det troede hun ikke . Det var næppe Karl sommers mening , at hun skulle ende sit liv på den måde . Hun skulle kun gennem sult tvinges til at være føjeligere , det var nok hans beregning .","Men det var jo tusinde gange værre end døden . Hvad skulle hun dog gøre for at slippe bort ? Ak , der var desværre intet at gøre — slet intet . Fler i dette underjordiske hul kunne hun skrige og rase så meget det skulle være ,",1899_Worm_ForbrydelsernesKongeEllerDenSkalperedePraest.txt,1899,ende sit liv,end* sit liv,Yes
"farlig . Fru van gok og Ebba besøgte ham , men fandt ikke noget foruroligende ved hans tilstand ; dog , inden","fire dage var forløben , udåndede han og de","stakkels efterladte stod trøstesløse ved det afsjælede , kolde legeme .",1876_LB_Taterkongen.txt,1876,udåndede,udånde*,Yes
"Det var denne familie , der var nærmeste arving til mester Ole linds ejendele ; nu da både han selv","og hans søster på samme tid vare vandrede heden ,","uden at efterlade andre nærmere slægtninge , og da Ebba hverken havde dokumenter eller andre beviser for at",1876_LB_Taterkongen.txt,1876,vandrede heden,vandr* heden,Yes
"Det sortnede , næsten for Bengts øjne og med en fortvivlelsens energi råbte han , næsten ude af sig selv : „ Og femhundrede daler til ! “","Dette var resten af hans sparepenge , ja , for at få summen fuld måtte han måske endog sælge sit lille hus , hvori han havde håbet at ende sit liv .","ved dette tit sidste bud vare den gamle mands kræfter udtømte . Han besvimede og faldt om i armene på nogle af sine kammerater , som stod bagved ham . Dersom bogholderen i dette øjeblik blot havde budt ti daler mere ville han være bleven tilslået huset ; men det var som om en usynlig magt holdt ham tilbage og lammede hans tunge , og derfor kunne auktionarius råbe :",1875_SoerensenC_IvarIvarson.txt,1875,ende sit liv,end* sit liv,Yes
"gåsegangsrække , sænke blikket , folde hænderne , og se overhovedet så bedrøvelig-andægtige ud , som var","det dem selv , der skulle til af himle . Derpå sætter","man sig i Marsch : først en med et sort kors , så en med en klokke , hvormed han klemter af alle",1871_Bergsoee_ISabinerbjergene_2.txt,1871,himle,himl*,Yes
"Agnes kom og bragte åringers fred . Hendes skønhed var mild og blid og sval som luften i klare forårsnætter , og det var , som skinnede månen over den , hun elskede .",". Men det blev til sidst for Niels , som måtte hans øjne dø i denne evige bleghed , og hans sjæl omkomme af farvenød . Hans ville hjerte begærede , at en morgenrøde måtte gry blandt brændende skyer , og en sol stå op i floder af blod og","guld . Og derfor satte hans sjæl sig atter på barneskammelen ved hjemmets yderste væg og lyttede i lange aftener efter larmen fra de store gader i livets stad . . . Derfor står han nu i denne skumringstime og ser ud og ønsker at følge hvert menneske , der går forbi , ønsker at vandre deres veje , kende deres verdner , smage deres glæder , dele deres vin . Men foran ham ligger kun den lange , ked-somme aften —",1897_JoergensenJ_DenYdersteDag.txt,1897,omkomme,omkom*,No
"Summe nat , som Martin Lindau forlod slottet med herminc , gik donan over sine bredder ,","sprængte slusen , og Nicola omkom i den gyselige",hvælving . Omtrent en måned efter at den unge Greve,1879_MoellerL_SlettensLilieEllerDetHemmelighedsfuldeSlot.txt,1879,omkom,omkom*,Yes
„ Del er sandt ! Jeg havde rent glemt den fæle historie ! “ Og de blev alle blege og så sig om med ængstelige blikke .,"„ Nå , rose , fortæl os så , hvordan silke kom af dage","det er en trist aften . Hør , hvor det regner og blæser udenfor ! Det er bedst at være under tag , når man ikke har lyst",1870_Juel_Hittebarnet.txt,1870,kom af dage,kom* af dage,Yes
Per . Hellere end at lade sig levende begrave i et magistratskontor ville han — som han plejede,at sige til sig selv — på hæderlig vis ende sit liv,"på en dørstolpe . Han var nu en gang fuldt overtydet om , at han ikke var skabt til hverdagsliv og",1898_Pontoppidan_LykkePerHansUngdom.txt,1898,ende sit liv,end* sit liv,Yes
"Med rå hånd åbnede hun tørklædet , tog barnet op deraf og slyngede det imod en mægtig","træstamme , og kort efter udåndede det .","En undertrykt djævelsk latter trængte over hendes læber , og ligegyldig , som om intet var flet",1878_Anonym_CarolineBoehmensFrygteligeSvoebeEllerEtGammeltBjergslotsHemmelighed.txt,1878,udåndede,udånde*,Yes
"med sin plumpe hånd . „ Holla , du ! “ råbte han „ har du lyst til at","komme til live igen , eller er du himlet med detsamme ? “",Lindan slog langsomt øjnene op og så sig forvildet,1879_MoellerL_SlettensLilieEllerDetHemmelighedsfuldeSlot.txt,1879,himlet,himl*,No
"måde . Han var ved frit mod og indgød sine omgivelse det samme , da bliver han pludselig syg og",lukkede sine øjne på Lyksborg slot i nærheden af,Flensborg den 15 november om eftermiddagen klokken halv tre . — hans efterfølger blev udråbt til,1873_Johansen_JensSoerensensUngdomshistorie.txt,1873,lukkede sine øjne,lukke* sine øjne,Yes
"det var , som om en ny tid , der ikke var født endnu , for sidste gang havde stået ansigt til ansigt","med en tid , der gik i graven . Det , der dannede","de store grænseskel i menneskeslægtens historie , havde hver gang været en fornyelse af den religiøse",1898_Bergstroem_BraendteSkibe.txt,1898,gik i graven,g* i graven,No
"blive præst , ikke fortie for dem , at den gamle Sira Hannes på hallormstad kristeligt","er hensovet , og at embedet desårsag om",kort tid vil blive opslået som vakant . Da jeg både personlig og gennem deres skrifter,1879_Hansen_Vikingeblod.txt,1879,hensovet,hensov*,Yes
For en halv time siden havde bløderen taget en kærlig afsked med ham og var derefter blidt,hensovet .,"Længe sad baronen og betragtede det clsfede åsyn , hvori der nu fandtes udtryk af en illa og",1879_Anselmo_AmelieEllerLivIDoeden.txt,1879,hensovet,hensov*,Yes
"sig helt om imod ham og så på ham — på ham , der havde talt sådanne ord til hende , så på ham uden ord , men med et blik , hvori hele hendes væsen lå , og der tydeligere end alle ord sagde ham , at han havde gjort hende uret , blodig , himmelskrigende uret .",Derpå vendte hun sig atter fra ham for at gå bort og for aldrig at se ham mere .,"og hun begyndte at gå langsomt hen imod udgangsdøren . Langsomt , forunderlig tøvende gik hun — hvorfor ? Fordi der hos de ædleste kvinder er en gnist af en guddommelig kærlighed og barmhjertighed forenet med den følelse , Eros vækker i deres hjerter , noget af den kærlighed , hvorom det hedder , at den håber , tror og",1879_Lange_NytLiv.txt,1879,gå bort,g* bort,No
"forleden nat vandrede fra købstaden ad hjemmet til og ville bade over lergrav å , trak djævelskabet benene","fra ham , så han faldt i åen og havde nær omkommet ,","om han ikke havde observeret at slå kors for sig , og stort bedre gik det ikke Mette Evers , da hun",1876_LB_Taterkongen.txt,1876,omkommet,omkom*,Yes
Der hersfede ingen landesorg over den store mesters bortgang ; det så ud som om ingen brød sig,"om af miste ham ; men der var heller ingen der følte ,",hvilket smerteligt tab Danmark dengang fristede . Hans avindsmænd glædede sig over udfaldet af deres hævn,1876_LB_Taterkongen.txt,1876,miste ham,miste* ham,Yes
"om hans tilgivelse for mig og for os begge . Hvis vi efter døden se den verden , vi have","forladt , vil jeg ikke få fred , førend dette er","sket . “ Nu ved du det hele . Jeg har søgt dig , år efter år , men forgæves , og til sidst",1871_HeegaardS_Dobbeltgaengeren.txt,1871,få fred,f* fred,Yes
"„ Nej , fra Tyskland . “ „ Lad mig høre . . . “",„ Hendes højhed enksfyrstinden af ost-friesland er afgået ved døden under et besøg i nunden . “,"„ Ganske vist er det mig meget ukært , at modtage budskabet om min tantes død , men med eders tilladelse vil jeg dog ikke føre tidenden derom ind under rubriken : „ Vigtige meddelelser “ . “ „ Jeg forstår dette meget vel , da eders majestæt ikke aner , hvilken rolle denne dame har spillet her ved hoffet og hvilken indflydelse det lykkedes hende at erhverve over deres majestæts høisalig fader i de seks år , hvori hun opholdt sig her . “",1875_SoerensenC_KjaerlighedVedHoffet.txt,1875,afgået ved døden,afg* ved døden,Yes
"smykke , deres blade og grene , når stormen pisker dem , således blev også Ulrikka så grusomt",revet bort fra sit sljønneste håb .,"Denne efterretning forskrækkede hende så meget , at hun sank hen i en fuldkommen bedøvelse ;",1878_C_ErikOgUlrikkaEllerRingerenFraStokholm_1.txt,1878,revet bort,revet bort,No
"døde . « » Det var en smuk bortgang , Karen , og en",dejlig profeti ; først skal de og Jens få fred med,"hinanden , thi uden det kunne i ikke mødes til Vorherres fred . «",1898_HansenE_EdithArensdorf.txt,1898,få fred,f* fred,Yes
"„ Før den sag med Dreyfus kommer i orden , får Frankrig aldrig ro . Gud bevare Frankrig ! Herren lade sin forbandelse komme over enhver forræders hoved . “ „ Det gør han nok , søster rose-lucienne ! “","„ Det er en ulykke med os siden den tid . Husk bare basarbranden , da den lille Camillas forældre og slægtninge kom af dage . “","„ Hvad så , søster st . Esprit ! “ „ Ikke så højt , småpiger ! Jeg løb lige på en ung dame , der sagde , at folk var begyndt på at flytte ud ! jeg havde ikke tid til at gå derned , da vi snart skal spise , men jeg spurgte vor kære moder , om",1899_MadsenJ_KomtesseFlory.txt,1899,kom af dage,kom* af dage,Yes
interesse . Den tørste aften efter sin hjemkomst fra,"Roeskilde var hun sovet ind , før hun fik endt sin","bøn . Men nu lå hun vågen nat efter nat og hulkede fortvivlet , med hovedet trykket ind mod",1893_Baadsgaard_ToUngeKvinder.txt,1893,sovet ind,sov* ind,No
"billede med mig her til Lifland , det har jeg dybt bevaret i min sjæl , ethvert af hendes ord , som","hun udåndede for mig i de søde , men så korte","timer , dem har jeg gemt i dette bryst . Hendes bly kærlighed , den var ej som andre kvinders ,",1877_Vinter_EbbaBraheEllerKongensBrud.txt,1877,udåndede,udånde*,No
Han forlod hende ydmyget og krænket til det iderste .,"Da han kom hjem til bankieren , underrettede han","ham om , af dersom han oftere skulle have bud til baronesse von sympfen , da måtte han sende en",1871_Behrend_Madelaine.txt,1871,kom hjem,kom* hjem,No
"han endnu den samme levende følelse af sin egen kraft og sit høje mod , begreb ikke ret forholdenes",overmagt og sov ind med den beslutning ikke at bøje,"sig , men fremdeles kæmpe med sin onde skjebne . andet kapitel .",1871_EwaldHF_DenSkotskeKvindePaaTjele_2.txt,1871,sov ind,sov* ind,No
"blod skulle udtappes . « » Er det dette ? « tænkte Olga , idet hun i en",gysende modbydelighed lukkede sine øjne . » Er,"det dette ? « Det var hende , som om hun var kommen",1879_Kieler_AndreFraKautokejno.txt,1879,lukkede sine øjne,lukke* sine øjne,No
. ft ' hvirvlet sig rundt i dandsesalonerne i Paris som,"> den smukkeste af alle , skulle ende sit liv her i","- denne ode , kolde , uhyggelige egn , drivende om som lig mellem isflagerne ? Hvilket uhyggeligt",1876_Albertius_KlokkenIRosendalen_2.txt,1876,ende sit liv,end* sit liv,Yes
"så skal Anton ikke sige at jeg har glemt ham “ Med disse tanker sov han ind , eller rettere , han",forsøgte at sove ind ; men det lykkedes ham kun at blunde,"på den sædvanlige måde , som er egen for folk , der spekulerer sig i søvn .",1874_Karstens_GrevindeDanner_1.txt,1874,sove ind,sov* ind,No
"han har forbrudt sig mod vor fader . “ „ Det er bedst , vi ikke tænke mere herpå . Nu","har han jo fået fred , som led derunder . “",„ Jeg må vide det for at rette mig derefter . “ „ Du skal også få det at vide . Et ord,1875_Brosboell_VibenPeter.txt,1875,fået fred,f* fred,Yes
"på piazza del popolo og piazza Colonna , da fyldes osterierne , da klinge mandolinerne , og da føler","man med tilfredsstillelse , at Roma ikke er hensovet ,","og at det romerske folkeliv rører sig ugenert og frit for den tvang , som de fremmede uvilkårlig pålægge",1871_Bergsoee_ISabinerbjergene_2.txt,1871,hensovet,hensov*,No
"og betale mig den lykke , de længe har været mig skyldig . «","Hun ville gå bort fra ham , men kunne ikke .","Promenaden endte netop i det samme ved en bænk , der stod tæt omgiven af et temmelig vildtvoksende",1890_HansenJ_Skuespillere.txt,1890,gå bort,g* bort,No
"„ Lad os ransage dem , de spidsbuber ! Så kommer vi vel efter , om de er skyldige eller ej ! “ foreslog den borger , som først havde taget ordet . „ Jeg giver ti gylden , om smykket sindes ! “ råbte","den bestjålne . „ Det er et kosteligt familieklenodie , som jeg ikke ville miste for den tidobbelte sum . Får jeg med guds hjælp fat i tyven , skal han ende sit liv i galgen , få vist som jeg er en retskaffen borger og medlem af det ærlige","tyske kompagni her i staden ! “ Ved udsigten til den lovede belønning vare tyve , tredive hænder straks rede til at begynde ransagningen . Niels Ribe stod så ubekymret og så fuldt optaget af den stærke folkebevægelse rundt omkring ham , at han ikke anede ondt , før de mange hænder greb fat i ham .",1893_OestergaardV_NielsRibesAeventyr.txt,1893,ende sit liv,end* sit liv,Yes
"— var nok til at forbavse et folk , der var stivnet i død bogstavtro , og hvis gud kun","var en over alle himle højt tronende dommer ,","for hvem den synlige gærning var det ene afgørende . alligevel vidste man ikke ret , hvad man",1885_MoellerO_ReformatorenFraGalilaea.txt,1885,himle,himl*,No
"disse klagende toner , der minde om et lille barns skrig , og som forstemmer selv meget forhærdede jægere , når det af og til arriverer dem på jagten . Dette billede havde han mange gange i sine tanker set for sig , altid i samme forbindelse . Nu så og hørte han det igen . Han stormede således frem imod sig selv , at han syntes , han aldrig havde været god imod den lille pige — nu var","hun tagen bort fra jorden og af hans — hendes imders — mund skulle hun aldrig høre et kærligt eller angrende ord mere . Havde hun nu søvnens fred , tilintetgørelsens forstenede ro , eller fløj hun op gennem himlens himle , hvor intet ondt mere skulle nå hende eller","bringe tårer i hendes strålende barneøjne ? Måske anklagede hun ham — med rette — det var til at blive afsindig over ! Klara tog den ene gang efter den anden i døren og meddelte , at aftensbordet var dækket . Det var , som om det ikke angik ham . F'ørst , da hun med en skærende røst , fuld af utålmodighed , skreg ind til ham om at komme , før",1896_Schjoerring_EtHjemPaaHeden.txt,1896,himle,himl*,Yes
"være meget sket . Du ønsker det da heller ikke Johan . “ „ Nej bevares frøken , “ svarede Johan , „ men hun",måtte dog nok kradse af til efteråret . “,"„ Fy Johan , “ sagde Ellen , „ det er sket ikke smukt af tale således . “",1875_Karstens_GrevindeDanner_2.txt,1875,kradse af,krads* af,Yes
"bleven klog ved dennes skade . Han talte i kirken om tro og dyd , så en sten måtte røres derved ,","og når han holdt ligtale over en hensovet strandtyv ,","henflød hele ligskaren i gråd . Biskoppen , der kun sjælden kan komme her , anså ham for en ganske",1870_Friis_MoedetPaaLaesoe.txt,1870,hensovet,hensov*,Yes
"og velsignede hende . Med sygeplejerskens hånd i sin , og mens den gyldne dag sejrrigt brød frem","derude bag det nedrullede hospitals-gardin , udåndede",han i et langt og smertefuldt suk . . . . Over det langsomt dragende ligtog rungede,1895_Pontoppidan_DommensDag.txt,1895,udåndede,udånde*,Yes
"overbevise hende om , at han mere indrettede sig efter den verdens kår og krav , han nu var begyndt at komme ind i — den verden , som hun , den gamle enlige kvinde , i denne afkrog jo for længst var sat næsten helt uden for . Det skar hende i hjertet , og hun så bedrøvet på ham , når enten en sådan , , lille “ ( ? ) ed eller en ikke altid lige fin vittighed rask og flot flød hen over hans læber , men hun tav , fordi hun ikke vidste , hvordan","hun skulle gribe Tingen ret an . Hun følte , at hun stod i fare for ikke alene at tabe det gamle herredømme — det var tabt — men for at miste ham selv . Denne følelse af faren manede hende til største forsigtighed , og det var frygten for","ved utidig indgriben at gøre sagen værre , der gjorde hende rådvild . Havde hun vidst , hvad der af banden , spot og rå spøg kunne komme ud af hans mund , hvor hun ikke var til stede , og han var mellem ligesindede , så ville sikkert forfærdelsen have bragt hende til at tale straks . Men det hørte hun ikke , for , som alt sagt , han ville ikke med hård hånd rive alle bånd itu ; dertil",1891_Povlsen_EnkensSkat.txt,1891,miste ham,miste* ham,No
såu med våben i hånd lige overfor et andet menneske —---------,han sov ind og drømte videre om det,"samme og sov et kvarters tid , men pludselig i søvne huskede han på damepensionen og",1888_KrohgC_EnDuel.txt,1888,sov ind,sov* ind,No
"hvad den nu bliver til , men hvordan ellers folk af min slags skal hytte sig i fremtiden , det er ikke","godt at vide — nej , det er ikke — for heden","planter de til , og moserne tørrer de ud — vi dør væk med lyngen ligesom urhønsene . — nå , hun",1896_BauditzS_Hjortholm.txt,1896,for heden,f* heden,No
", heller ikke i kampen vil jeg vige fra din side , indtil en kugle strækker mig til jorden sammen med dig . “ „ Nej , min Ræna , det skal du ikke — under sikker beskyttelse vil jeg vogte dig i min lejr , som min kostbareste skat . Du skal modtage mig , når jeg vender hjem fra kampen . Så skal du vidste blodet og sveden af min pande og","forbinde mine sår med dine kløde , kære hænder , og med hovedet i dit skød vil jeg fortælle dig mine eventyr , og du vil med din søde , blide stemme synge ømme sange , indtil vi under sang og kærtegn sover ind . “","Manuels bløde , bedårende stemme lød i sandhed henrivende , da han udmalede dette fremtidsbillede . „ Og dine stalbrødre ! “ spurgte Ræna rødmende .",1892_Richter_DonRedandoEllerKaerlighedOgKamp_1.txt,1892,sover ind,sov* ind,No
"» Ja ; netop . Men jeg har haft ondt ved at tro det . Det synes jeg aldrig har ligget for dig . Men sådan som du har båret dig ad — det kan jeg rigtignok alligevel ikke forstå . . . « » Hvordan har jeg da båret mig ad ? « udbrød Karl heftigt . » Ja , jeg har båret mig galt ad . Det har jeg . Men siden det øjeblik har jeg heller ikke haft en glad time . — — ja , Johanne — havde du ikke","været sådan mod mig den gang , som du var , — så krakilsk og ringeagtende , — så måske din søster ikke havde ligget ude på vestre kirkegård nu . Og så var sikkert heller aldrig den lille kommen til verden — og var heller ikke bleven revet bort",fra os . . . « » Så skal det altså være min skyld alt sammen . . . «,1897_MadsenJF_Firkloeveret.txt,1897,revet bort,revet bort,Yes
"sin arm , som hun tog imod , og så gik de rask henad vejen .",Ida havde lukket sine øjne og gik således .,"Hasting vendte ikke sit blik fra hende , og således skete det , at de begge kom til at snuble over en",1875_Topsoee_JasonMedDetGyldneSkind.txt,1875,lukket sine øjne,lukke* sine øjne,No
"Hun var ikke den , som klædte sig nøgen for nogen . Det var ikke som med ham . Han","havde syntes , at han ikke kunne få fred i sjælen","sin , for han havde bekendt for hende . Og så var han kommen frem med alt det gale , han",1898_SkramA_Afkom.txt,1898,få fred,f* fred,No
Von Seebotten dør . Der er sorg på Eichberg . Von Seebotten,er stille hensovet en dag i begyndelsen af marts .,Pastor Thorsen er tilstede og taler trøstens ord til den afdødes enke og datter . Fruen er aldeles,1888_Gioerup_DerovreFra.txt,1888,hensovet,hensov*,Yes
"jeg er dig for dit kærlige tilbud , så — det kan jeg ikke — det vil jeg ikke — — «","Det var forgæves , at hun kom frem med alt ,",hvad hendes kærlighed og finfølelse lagde hende på tungen for at overtale ham . I det punkt var,1894_JuelHansen_TereseKaerulf.txt,1894,kom frem,kom* frem,No
"jeg nedbede himlens forbandelse over dit hoved . Husk på det , min datter , du står ene her i","verden , din moder er vandret heden , hun kan ikke si","Mere være din støtte og vandrestav , jeg Må stå M ved din side , men mine hår er hvide og mine h",1877_Vinter_EbbaBraheEllerKongensBrud.txt,1877,vandret heden,vandr* heden,Yes
"armen frem . Hun rejste sig , hilste med et huldrigt smil og",gik bort med sin kavaler .,Andet kapitel . I kabinettet .,1880_SommerO_VilHanVinde.txt,1880,gik bort,g* bort,No
